Ordered Time,From_Suburb,From_State,From_State,To_Suburb,To_State,To_Postcode,Items,Weight,Volume,Allowed Time (Days)
TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,INT,REAL,REAL,INT
3/05/2020 10:41,LANE COVE,NSW,2066,BELMONT,NSW,2280,2,20,0.0276,
3/05/2020 10:41,MANSFIELD,QLD,4122,VIRGINIA,QLD,4014,1,1,0.0066,
3/05/2020 10:41,LANE COVE,NSW,2066,YEERONGPILLY,QLD,4105,1,3,0.028,
3/05/2020 10:42,TRUGANINA,VIC,3029,TUGGERAH,NSW,2259,1,0.18,0.0173,
3/05/2020 10:42,BAYSWATER,VIC,3153,KOGARAH,NSW,2217,3,15.9,0.1725,
3/05/2020 10:43,BAYSWATER,VIC,3153,JAMISONTOWN,NSW,2750,1,8,0.1235,
3/05/2020 10:44,TRUGANINA,VIC,3029,CARDIFF,NSW,2285,1,2.12,0.0308,
3/05/2020 10:48,DANDENONG SOUTH,VIC,3175,KEWDALE,WA,6105,1,3,0.0012,
3/05/2020 10:49,PORT MELBOURNE,VIC,3207,NEW FARM,QLD,4005,1,5,0.0243,
3/05/2020 10:50,MOUNT WAVERLY,VIC,3149,NEDLANDS,WA,6009,1,1,0.0071,
3/05/2020 10:52,TRUGANINA,VIC,3029,ARDROSSAN,SA,5571,1,14.7,0.1204,
3/05/2020 10:55,TRUGANINA,VIC,3029,GREYSTANES,NSW,2145,1,1.18,0.0308,
3/05/2020 10:57,TRUGANINA,VIC,3029,GWELUP,WA,6018,1,0.05,0.0034,
3/05/2020 10:58,SOMERTON,VIC,3062,KEYSBOROUGH,VIC,3173,8,112,0.28,
3/05/2020 10:59,TRUGANINA,VIC,3029,OXENFORD,QLD,4210,1,16,0.1457,
3/05/2020 11:02,LANE COVE,NSW,2066,BELMONT,NSW,2280,4,40,0.0552,
3/05/2020 11:02,REGENTS PARK,NSW,2143,BYRON BAY,NSW,2481,1,23,0.064,
3/05/2020 11:04,TRUGANINA,VIC,3029,BUNDAMBA,QLD,4304,1,16,0.1457,
3/05/2020 11:04,TRUGANINA,VIC,3029,DERRIMUT,VIC,3026,2,12.12,0.0136,
3/05/2020 11:05,DANDENONG SOUTH,VIC,3175,SPRINGVALE,VIC,3171,1,5,0.008,
3/05/2020 11:08,HAZELMERE,WA,6055,JOONDALUP,WA,6027,1,13.44,0.0308,
3/05/2020 11:08,TRUGANINA,VIC,3029,GREGORY HILLS,NSW,2557,1,181.83,1.8,
3/05/2020 11:10,TRUGANINA,VIC,3029,NARACOORTE,SA,5271,1,2.12,0.0308,
3/05/2020 11:10,EASTERN CREEK,NSW,2766,ACACIA RIDGE,QLD,4110,2,2,0.0064,
3/05/2020 11:10,MOUNT WAVERLY,VIC,3149,CAMDEN PARK,SA,5038,8,63,0.4886,
3/05/2020 11:11,BRAESIDE,VIC,3195,HALLAM,VIC,3803,1,5,0.0222,
3/05/2020 11:11,TRUGANINA,VIC,3029,BUNDABERG,QLD,4670,1,2.4,0.0199,
3/05/2020 11:12,LANE COVE,NSW,2066,BALLARAT,VIC,3350,1,2,0.0113,
3/05/2020 11:12,ARNDELL PARK,NSW,2148,DUNGOG,NSW,2420,1,27,0.0205,
3/05/2020 11:13,CHESTER HILL,NSW,2162,BREAKWATER,VIC,3219,1,142,2.16,
3/05/2020 11:15,TRUGANINA,VIC,3029,GEELONG,VIC,3220,1,1.42,0.0308,
3/05/2020 11:17,BAYSWATER,VIC,3153,SOUTH BRISBANE,QLD,4101,1,16,0.062,
3/05/2020 11:18,PORT MELBOURNE,VIC,3207,BERRINBA,QLD,4117,1,9,0.0575,
3/05/2020 11:19,DANDENONG,VIC,3175,GEEBUNG,QLD,4034,3,1140,3.0566,
3/05/2020 11:20,INGLEBURN,NSW,2565,INGLEBURN,NSW,2565,1,0.1,0,
3/05/2020 11:21,TRUGANINA,VIC,3029,LAVINGTON,NSW,2641,1,9,0.0582,
3/05/2020 11:21,MOUNT WAVERLY,VIC,3149,SOUTH BRISBANE,QLD,4101,2,13,0.0845,
3/05/2020 11:21,TRUGANINA,VIC,3029,MANDURAH,WA,6210,1,0.05,0.0034,
3/05/2020 11:22,CLAYTON,VIC,3168,HAMILTON,QLD,4007,1,10,0.0784,
3/05/2020 11:22,EASTERN CREEK,NSW,2766,MALAGA,WA,6090,1,2,0.0032,
3/05/2020 11:23,TRUGANINA,VIC,3029,CESSNOCK,NSW,2325,1,7.4,0.0308,
3/05/2020 11:23,MOUNT WAVERLY,VIC,3149,MARYBOROUGH,QLD,4650,1,6,0.0774,
3/05/2020 11:26,LANE COVE,NSW,2066,ST LEONARDS,NSW,2065,1,2,0.0113,
3/05/2020 11:27,TRUGANINA,VIC,3029,PADDINGTON,NSW,2021,1,0.3,0.0521,
3/05/2020 11:30,HAZELMERE,WA,6055,BALCATTA,WA,6021,1,30.91,0.0308,
3/05/2020 11:30,DANDENONG SOUTH,VIC,3175,ADELAIDE,SA,5000,2,14,0.0257,
3/05/2020 11:31,TRUGANINA,VIC,3029,UNDERWOOD,QLD,4119,1,242,1.69,
3/05/2020 11:31,MOUNT WAVERLY,VIC,3149,WETHERILL PARK,NSW,2164,2,12,0.1086,
3/05/2020 11:31,GREENACRE,NSW,2190,WARABROOK,NSW,2304,1,5,0.0132,
3/05/2020 11:33,TRUGANINA,VIC,3029,ARMIDALE,NSW,2350,1,9,0.0688,
3/05/2020 11:38,MOUNT WAVERLY,VIC,3149,CLAYTON,VIC,3168,1,4,0.0229,
3/05/2020 11:40,TRUGANINA,VIC,3029,EBENEZER,NSW,2756,1,2.12,0.0308,
3/05/2020 11:40,BAYSWATER,VIC,3153,CESSNOCK,NSW,2325,1,5.3,0.0575,
3/05/2020 11:41,TRUGANINA,VIC,3029,SORELL,TAS,7172,1,6.15,0.0308,
3/05/2020 11:42,ARNDELL PARK,NSW,2148,BARADINE,NSW,2396,2,29.9,0.0278,
3/05/2020 11:42,TRUGANINA,VIC,3029,SOUTH TURRAMURRA,NSW,2074,1,1.02,0.0199,
3/05/2020 11:42,TRUGANINA,VIC,3029,BAYSWATER,VIC,3153,1,79.54,1.44,
3/05/2020 11:45,CAMPBELLFIELD,VIC,3061,SEVEN HILLS,NSW,2147,2,31,0.0613,
3/05/2020 11:45,TRUGANINA,VIC,3029,WAGGA WAGGA,NSW,2650,1,63.69,1.44,
3/05/2020 11:45,MOUNT WAVERLY,VIC,3149,MODBURY,SA,5092,1,1,0.0011,
3/05/2020 11:49,LANE COVE,NSW,2066,NEW LAMBTON HEIGHTS,NSW,2305,1,2,0.0113,
3/05/2020 11:51,CAMPBELLFIELD,VIC,3061,ADELAIDE,SA,5000,4,50,0.087,
3/05/2020 11:51,PORT MELBOURNE,VIC,3207,HEYFIELD,VIC,3858,1,1.3,0.0074,
3/05/2020 11:52,MURARRIE,QLD,4172,ARNDELL PARK,NSW,2148,1,10,0.096,
3/05/2020 11:53,STAPYLTON,QLD,4207,DECEPTION BAY,QLD,4508,38,7600,82.08,
3/05/2020 11:54,CHESTER HILL,NSW,2162,BRAESIDE,VIC,3195,1,385,2.016,
3/05/2020 11:55,ARNDELL PARK,NSW,2148,NYNGAN,NSW,2825,9,151.3,0.1357,
3/05/2020 11:56,BANKSMEADOW,NSW,2019,INGLEBURN,NSW,2565,1,1,0,
3/05/2020 11:57,TRUGANINA,VIC,3029,KATOOMBA,NSW,2780,4,29,0.1752,
3/05/2020 12:00,TRUGANINA,VIC,3029,ELI WATERS,QLD,4655,1,6.15,0.0308,
3/05/2020 12:00,MOUNT WAVERLY,VIC,3149,COLLINGWOOD,VIC,3066,1,1,0.0071,
3/05/2020 12:01,INGLEBURN,NSW,2565,PERTH AIRPORT,WA,6000,1,1,0.0034,
3/05/2020 12:01,TRUGANINA,VIC,3029,HEYWOOD,VIC,3304,7,55.85,0.3392,
3/05/2020 12:04,TRUGANINA,VIC,3029,BAIRNSDALE,VIC,3875,1,0.68,0.0173,
3/05/2020 12:10,BOWEN HILLS,QLD,4006,KEWARRA BEACH,QLD,4879,2,25,0.3147,
3/05/2020 12:11,REGENTS PARK,NSW,2143,COOPERS PLAINS,QLD,4108,1,12,0.024,
3/05/2020 12:12,CLAYTON,VIC,3168,LEUMEAH,NSW,2560,1,10,0.0784,
3/05/2020 12:12,DINGLEY VILLAGE,VIC,3172,WEST WYALONG,NSW,2671,1,1,0.0089,
3/05/2020 12:12,TRUGANINA,VIC,3029,HORSHAM,VIC,3400,1,0.01,0.0082,
3/05/2020 12:14,PORT MELBOURNE,VIC,3207,BAIRNSDALE,VIC,3875,1,1.8,0.0074,
3/05/2020 12:14,TRUGANINA,VIC,3029,ROCKINGHAM,WA,6168,1,1.42,0.0308,
3/05/2020 12:16,LANE COVE,NSW,2066,CLAYTON,VIC,3168,1,2,0.0113,
3/05/2020 12:19,ARNDELL PARK,NSW,2148,LAKE CARGELLIO,NSW,2672,1,21.4,0.0205,
3/05/2020 12:19,TRUGANINA,VIC,3029,PRESTON,VIC,3072,1,81,1.191,
3/05/2020 12:21,DANDENONG SOUTH,VIC,3175,SOUTH YARRA,VIC,3141,12,96,0.768,
3/05/2020 12:22,TRUGANINA,VIC,3029,CRAIGIEBURN,VIC,3064,1,0.89,0.0034,
3/05/2020 12:25,PORT MELBOURNE,VIC,3207,ST IVES,NSW,2075,1,1,0.0074,
3/05/2020 12:29,MOUNT WAVERLY,VIC,3149,GUNNEDAH,NSW,2380,1,4,0.0168,
3/05/2020 12:29,MOUNT WAVERLY,VIC,3149,NORTH GOSFORD,NSW,2250,1,4,0.0168,
3/05/2020 12:29,HAZELMERE,WA,6055,DENMARK,WA,6333,2,47,0.5518,
3/05/2020 12:29,REGENTS PARK,NSW,2143,VIRGINIA,QLD,4014,1,16,0.032,
3/05/2020 12:30,MOUNT WAVERLY,VIC,3149,BAIRNSDALE,VIC,3875,1,6,0.0543,
3/05/2020 12:32,TRUGANINA,VIC,3029,ALEXANDRIA,NSW,2015,1,0.18,0.0173,
3/05/2020 12:32,BRAESIDE,VIC,3195,TULLAMARINE,VIC,3043,2,12,0.1992,
3/05/2020 12:33,BRAESIDE,VIC,3195,EAGLE FARM,QLD,4009,1,6,0.0549,
3/05/2020 12:33,PORT MELBOURNE,VIC,3207,ILUKA,WA,6028,1,1,0.0074,
3/05/2020 12:34,LANE COVE,NSW,2066,COLLINGWOOD,VIC,3066,1,1,0.0113,
3/05/2020 12:37,TRUGANINA,VIC,3029,LAVINGTON,NSW,2641,1,1.73,0,
3/05/2020 12:38,CLAYTON,VIC,3168,NORTH HOBART,TAS,7000,2,20,0.1612,
3/05/2020 12:40,PARKINSON,QLD,4115,CALOUNDRA WEST,QLD,4551,4,50,0.36,
3/05/2020 12:40,BAYSWATER,VIC,3153,PORT MACQUARIE,NSW,2444,2,10,0.04,
3/05/2020 12:41,MOUNT WAVERLY,VIC,3149,PARKVILLE,VIC,3052,1,1,0.0071,
3/05/2020 12:45,BAYSWATER,VIC,3153,CRANBOURNE,VIC,3977,2,8,0.0718,
3/05/2020 12:46,DANDENONG SOUTH,VIC,3175,ROSEBUD,VIC,3939,1,5,0.001,
3/05/2020 12:47,CHESTER HILL,NSW,2162,CHARMHAVEN,NSW,2263,2,337,3.571,
3/05/2020 12:48,TRUGANINA,VIC,3029,CAPALABA,QLD,4157,1,1.08,0.0308,
3/05/2020 12:58,TRUGANINA,VIC,3029,COWRA,NSW,2794,1,1.32,0.0582,
3/05/2020 12:59,WOLLI CREEK,NSW,2205,WEST PYMBLE,NSW,2073,1,28,0.0827,
3/05/2020 13:06,DANDENONG SOUTH,VIC,3175,SOUTH YARRA,VIC,3141,1,5,0.001,
3/05/2020 13:07,TRUGANINA,VIC,3029,BATTERY POINT,TAS,7004,1,0.02,0.0034,
3/05/2020 13:07,TRUGANINA,VIC,3029,BERRI,SA,5343,1,95.39,0.96,
